NDB_No,NDB_Number,name,Short Name,Protein,Fat,Carbs,Calories,Water,Sugar,Cholesterol,Saturated Fat,Omega3,Omega6,Om3Om6Ratio,Om6Om3Ratio,GmWt_1,GmWt_2,GmWt_3,GmWt_4,GmWt_5,GmWt_6,GmWt_7,GmWt_8,GmWt_9,Gm_Wt200Cals,GmWt_Desc1,GmWt_Desc2,GmWt_Desc3,GmWt_Desc4,GmWt_Desc5,GmWt_Desc6,GmWt_Desc7,GmWt_Desc8,GmWt_Desc9
1001,1001,Butter salted,Salted Butter,0.85,81.11,0.06,717,15.87,0.06,215,51.368,315,2995,0.105,9.508,5,14.2,227,113,NULL,NULL,NULL,NULL,NULL,27.894,"1 pat (1 Inch sq, 1/3 Inch high)",1 tbsp,1 cup,1 stick,NULL,NULL,NULL,NULL,NULL
1002,1002,Butter whipped with salt,Whipped Butter (Salted),0.49,78.3,2.87,718,16.72,0.06,225,45.39,363,3248,0.112,8.948,3.8,9.4,151,76,NULL,NULL,NULL,NULL,NULL,27.855,"1 pat (1 Inch sq, 1/3 Inch high)",1 tbsp,1 cup,1 stick,NULL,NULL,NULL,NULL,NULL
1003,1003,Butter oil anhydrous,Ghee (Clarified Butter),0.28,99.48,0,876,0.24,0,256,61.924,1447,2247,0.644,1.553,12.8,205,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.831,1 tbsp,1 cup,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1004,1004,Cheese blue,Blue Cheese,21.4,28.74,2.34,353,42.41,0.5,75,18.669,264,536,0.493,2.03,28.4,17,135,NULL,NULL,NULL,NULL,NULL,NULL,56.657,1 oz,1 cubic inch,"1 cup, crumbled, not packed",NULL,NULL,NULL,NULL,NULL,NULL
1005,1005,Cheese brick,Brick Cheese,23.24,29.68,2.79,371,41.11,0.51,94,18.764,293,491,0.597,1.676,132,113,28.4,17,28,NULL,NULL,NULL,NULL,53.908,"1 cup, diced","1 cup, shredded",1 oz,1 cubic inch,1 slice (1 oz),NULL,NULL,NULL,NULL
1006,1006,Cheese brie,Brie Cheese,20.75,27.68,0.45,334,48.42,0.45,100,17.41,313,513,0.61,1.639,28.4,144,240,17,128,NULL,NULL,NULL,NULL,59.88,1 oz,"1 cup, sliced","1 cup, melted",1 cubic inch,1 package (4.5 oz),NULL,NULL,NULL,NULL
1007,1007,Cheese camembert,Camambert,19.8,24.26,0.46,300,51.8,0.46,72,15.259,274,450,0.609,1.642,28.4,246,17,38,NULL,NULL,NULL,NULL,NULL,66.667,1 oz,1 cup,1 cubic inch,1 wedge (1.33 oz),NULL,NULL,NULL,NULL,NULL
1008,1008,Cheese caraway,Caraway Cheese,25.18,29.2,3.06,376,39.28,NULL,93,18.584,322,508,0.634,1.578,28.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.191,1 oz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1009,1009,Cheese cheddar,Cheddar Cheese,22.87,33.31,3.09,404,37.02,0.48,99,18.867,28,1187,0.024,42.393,132,244,113,28.4,17,28,NULL,NULL,NULL,49.505,"1 cup, diced","1 cup, melted","1 cup, shredded",1 oz,1 cubic inch,1 slice (1 oz),NULL,NULL,NULL
1010,1010,Cheese cheshire,Chesire Cheese,23.37,30.6,4.78,387,37.65,NULL,103,19.475,337,533,0.632,1.582,28.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51.68,1 oz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1011,1011,Cheese colby,Colby Cheese,23.76,32.11,2.57,394,38.2,0.52,95,20.218,277,676,0.41,2.44,132,113,28.4,17,28,NULL,NULL,NULL,NULL,50.761,"1 cup, diced","1 cup, shredded",1 oz,1 cubic inch,1 slice (1 oz),NULL,NULL,NULL,NULL
1012,1012,Cheese cottage creamed large or small curd,Cottage Cheese (Blended),11.12,4.3,3.38,98,79.79,2.67,17,1.718,17,105,0.162,6.176,113,210,225,NULL,NULL,NULL,NULL,NULL,NULL,204.082,4 oz,"1 cup, large curd (not packed)","1 cup, small curd (not packed)",NULL,NULL,NULL,NULL,NULL,NULL
1013,1013,Cheese cottage creamed with fruit,Cottage Cheese (Blended With Fruit),10.69,3.85,4.61,97,79.64,2.38,13,2.311,37,88,0.42,2.378,113,226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,206.186,4 oz,1 cup (not packed),NULL,NULL,NULL,NULL,NULL,NULL,NULL
